event_number,start_time,end_time,duration_hours,max_customers_out,total_customers_out,num_outages,num_restores,customer_hours,counties_affected,max_sknt,min_sknt,avg_sknt,max_gust,min_gust,avg_gust,max_tmpf,min_tmpf,avg_tmpf,total_p01i,max_p01i,avg_p01i
353,2015-03-14 04:15:00,2015-03-14 06:15:00,2.0,6003,6026,3,6,10403.25,Los Angeles,12.0,0.0,3.9791667,22.0,0.0,1.375,86.0,51.0,70.61389,0.0004,1e-04,2.7777778e-06
355,2015-03-16 05:00:00,2015-03-16 07:15:00,2.25,5273,5583,5,3,10378.5,Los Angeles,13.0,0.0,3.3375,22.0,0.0,1.0,82.4,57.0,71.9,0.0,0.0,0.0
357,2015-03-16 11:30:00,2015-03-16 12:45:00,1.25,4302,4302,2,3,5252.5,Los Angeles,9.72,0.0,2.63875,0.0,0.0,0.0,73.0,47.0,64.63125,0.0,0.0,0.0
359,2015-03-17 15:45:00,2015-03-17 16:00:00,0.25,3927,3927,1,1,981.75,Los Angeles,21.0,0.0,3.4375,0.0,0.0,0.0,71.0,54.0,65.2125,0.0,0.0,0.0
361,2015-03-18 18:45:00,2015-03-18 19:30:00,0.75,4880,4880,1,1,3660.0,Los Angeles,15.0,0.0,6.265625,16.0,0.0,0.96875,74.0,57.0,67.99687,0.0,0.0,0.0
363,2015-03-18 21:30:00,2015-03-18 22:45:00,1.25,4738,4742,3,3,5820.5,Los Angeles,13.0,3.0,7.6666665,16.0,0.0,0.9375,72.0,61.0,68.822914,0.0,0.0,0.0
365,2015-03-19 20:00:00,2015-03-19 20:45:00,0.75,4934,4934,3,1,3660.5,Los Angeles,12.0,4.0,7.984375,19.0,0.0,2.453125,78.0,62.0,71.30594,0.0,0.0,0.0
367,2015-03-19 22:30:00,2015-03-20 01:00:00,2.5,4244,4372,6,5,10249.75,Los Angeles,15.0,0.0,8.676136,15.0,0.0,0.5113636,78.0,59.0,70.57272,0.0,0.0,0.0
369,2015-03-20 01:30:00,2015-03-20 02:00:00,0.5,3869,3869,1,2,1934.25,Los Angeles,18.0,3.0,8.270833,16.0,0.0,1.0,77.0,57.0,66.74167,0.0,0.0,0.0
371,2015-03-20 03:45:00,2015-03-20 05:00:00,1.25,5839,5839,3,1,6926.5,Los Angeles,16.0,0.0,5.1770835,0.0,0.0,0.0,71.6,56.0,63.166668,0.0,0.0,0.0
373,2015-03-20 05:30:00,2015-03-20 13:15:00,7.75,7794,8730,6,18,47225.5,Los Angeles,16.0,0.0,3.4121094,19.0,0.0,0.1484375,71.6,40.0,58.876564,0.0,0.0,0.0
377,2015-03-22 07:15:00,2015-03-22 09:30:00,2.25,8077,8897,4,4,14215.0,Los Angeles,12.0,0.0,5.0625,0.0,0.0,0.0,73.4,52.0,59.49,0.0,0.0,0.0
379,2015-03-22 17:00:00,2015-03-22 17:15:00,0.25,7573,7573,1,1,1893.25,Los Angeles,19.0,0.0,5.0625,0.0,0.0,0.0,68.0,57.2,62.1875,0.0,0.0,0.0
381,2015-03-24 16:30:00,2015-03-24 18:15:00,1.75,4601,4601,6,2,7845.0,Los Angeles,26.0,0.0,6.7109375,47.0,0.0,3.9296875,73.4,47.0,64.70157,0.0,0.0,0.0
383,2015-03-25 04:00:00,2015-03-25 05:00:00,1.0,4708,4725,2,3,4285.25,Los Angeles,26.0,0.0,9.65,36.0,0.0,10.075,77.0,48.0,65.9375,0.0,0.0,0.0
385,2015-03-25 13:30:00,2015-03-25 15:00:00,1.5,5051,5158,3,2,7169.5,Los Angeles,12.0,0.0,2.0982144,17.0,0.0,1.4821428,82.4,44.0,57.967857,0.0,0.0,0.0
387,2015-03-25 15:30:00,2015-03-25 22:15:00,6.75,6876,9936,10,15,34172.5,Los Angeles,19.0,0.0,5.638393,31.0,0.0,3.3839285,87.0,48.0,72.70804,0.0,0.0,0.0
